breau,class,year,count,dead,hurt
桃園分局,不明原因肇事,105,"2,033",0,"2,620"
中壢分局,不明原因肇事,105,"1,829",0,"2,277"
八德分局,不明原因肇事,105,"1,772",0,"2,389"
中壢分局,未注意車前狀態,105,"1,677",0,"2,263"
桃園分局,未依規定讓車,105,"1,243",0,"1,613"
中壢分局,未依規定讓車,105,982,0,"1,287"
龜山分局,不明原因肇事,105,916,0,"1,214"
平鎮分局,未注意車前狀態,105,886,0,"1,136"
桃園分局,未注意車前狀態,105,830,0,"1,080"
大園分局,未注意車前狀態,105,795,0,996
龜山分局,未注意車前狀態,105,715,0,931
楊梅分局,未依規定讓車,105,557,0,703
蘆竹分局,未注意車前狀態,105,513,0,661
楊梅分局,未注意車前狀態,105,450,0,576
中壢分局,尚未發現肇事因素,105,442,0,548
蘆竹分局,不明原因肇事,105,407,0,536
平鎮分局,未依規定讓車,105,393,0,489
中壢分局,左轉彎未依規定,105,392,0,528
桃園分局,左轉彎未依規定,105,340,0,474
平鎮分局,左轉彎未依規定,105,310,0,401
龍潭分局,未依規定讓車,105,308,0,403
龍潭分局,未注意車前狀態,105,289,0,371
八德分局,尚未發現肇事因素,105,289,0,359
蘆竹分局,未依規定讓車,105,283,0,354
八德分局,未注意車前狀態,105,271,0,361
大園分局,未依規定讓車,105,267,0,349
大溪分局,不明原因肇事,105,246,0,304
龜山分局,未依規定讓車,105,239,0,318
龜山分局,其他引起事故之違規或不當行為,105,234,0,321
大溪分局,尚未發現肇事因素,105,223,0,289
桃園分局,未保持行車安全距離,105,206,0,268
桃園分局,違反號誌管制或指揮,105,197,0,302
中壢分局,違反號誌管制或指揮,105,196,0,274
龍潭分局,左轉彎未依規定,105,192,0,258
大溪分局,未注意車前狀態,105,191,0,259
中壢分局,右轉彎未依規定,105,188,0,222
八德分局,未依規定讓車,105,182,0,243
桃園分局,未保持行車安全間隔,105,170,0,218
中壢分局,迴轉未依規定,105,170,0,205
龜山分局,左轉彎未依規定,105,162,0,224
中壢分局,未保持行車安全距離,105,154,0,205
